Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
01HU-Login-Cierre de Sesión,,,,2022-05-23 22:24:16,2022-05-23 22:51:45,"27m - 28,965s",FAILED
,,,,,,,
Test Cases/Sprint 1/01HU-Login-Cierre de Sesión/01 Especificaciones Funcionales - Primer Login exitoso del Cliente,,"Si el nombre del cliente es mayor al límite máximo de caracteres que permite la resolución del dispositivo, la aplicación mostrará el nombre de usuario seguido de tres (03) puntos suspensivos (…), para indicar que continúa. No se generará una segunda línea con el nombre del usuario en ningún caso.
El límite de caracteres máximo a mostrar dependerá de la resolución del dispositivo móvil.


Precondiciones
El primer nombre del cliente será retornado por el servicio.


Datos utilizados
Cliente: 477726   Numero de documento: 3456789

LUIS AUGUSTO EMMANUEL DUARTE SANCHEZ


Pasos a seguir
Ingresar datos correctos del cliente, e iniciar sesión


Resultado Esperado
Al ingresar por primera vez en la aplicación, el texto de bienvenida expresa “¡Hola!”.

Si el usuario hace login exitoso, al cerrar sesión podrá ver en la Pantalla Login, el texto “¡Hola <Primer nombre del cliente>!”.",TET-918,2022-05-23 22:24:16,2022-05-23 22:26:14,"1m - 58,006s",PASSED
"startApplication(URL, true)",,,,2022-05-23 22:24:18,2022-05-23 22:25:23,"1m - 5,082s",PASSED
"delay(10, CONTINUE_ON_FAILURE)",,,,2022-05-23 22:25:23,2022-05-23 22:25:33,"10,035s",PASSED
"Hola = getText(findTestObject(""Object Repository/Sprint 1/Inicio primera vez y cierre de sesion/android.widget.TextView - Hola Primer Login""), 0)",,,,2022-05-23 22:25:33,2022-05-23 22:25:35,"2,224s",PASSED
"verifyEqual(Hola, ""¡Hola!"")",,,,2022-05-23 22:25:35,2022-05-23 22:25:35,"0,011s",PASSED
"setText(findTestObject(""Object Repository/Sprint 1/Inicio primera vez y cierre de sesion/android.widget.EditText - Ejemplo 0981123456 (1)""), Numerocelular, 0)",,,,2022-05-23 22:25:35,2022-05-23 22:25:38,"2,552s",PASSED
"setText(findTestObject(""Object Repository/Sprint 1/Inicio primera vez y cierre de sesion/android.widget.EditText (2)""), Contrasena, 0)",,,,2022-05-23 22:25:38,2022-05-23 22:25:40,"2,075s",PASSED
"tap(findTestObject(""Object Repository/Sprint 1/Inicio primera vez y cierre de sesion/android.widget.Button - Ingresar (2)""), 0)",,,,2022-05-23 22:25:40,2022-05-23 22:25:42,"1,692s",PASSED
"tap(findTestObject(""Sprint 1/Inicio primera vez y cierre de sesion/android.widget.Button - NO (1)""), 0)",,,,2022-05-23 22:25:42,2022-05-23 22:26:03,"20,867s",PASSED
"tap(findTestObject(""Sprint 1/Inicio primera vez y cierre de sesion/android.widget.ImageView""), 0)",,,,2022-05-23 22:26:03,2022-05-23 22:26:04,"1,469s",PASSED
"tap(findTestObject(""Sprint 1/cierre de sesion/android.widget.ImageView Icono salir superior""), 0)",,,,2022-05-23 22:26:04,2022-05-23 22:26:07,"2,815s",PASSED
"tap(findTestObject(""Sprint 1/cierre de sesion/android.widget.Button - SI (cerrar sesion)""), 0)",,,,2022-05-23 22:26:07,2022-05-23 22:26:08,"0,705s",PASSED
"SILVIA = getText(findTestObject(""Sprint 1/Inicio primera vez y cierre de sesion/android.widget.TextView -  NombreUsuario""), 0)",,,,2022-05-23 22:26:08,2022-05-23 22:26:14,"6,853s",PASSED
"verifyEqual(Nombredeusuario, findTestData(""Usuarios"").getValue(4, 1))",,,,2022-05-23 22:26:14,2022-05-23 22:26:14,"0,050s",PASSED
,,,,,,,
