Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
04 HU-Resumen de Productos,,,,2022-05-24 00:28:49,2022-05-24 00:47:13,"18m - 24,663s",FAILED
,,,,,,,
Test Cases/Sprint 1/03HU-Dashboard/27 Validar pantalla de Dashboard,,"na vez realizado el login exitoso se debe visualizar la pantalla de Dashboard. o al seleccionar el menú Mis productos.

La pantalla cuenta con los siguientes elementos:

Header de la pantalla con el texto que la identifica “Mis productos”.

Slider principal, contiene los siguientes elementos:

Slider 1.

Botón flecha hacia abajo 1.

Barra de subtítulos “Todos mis productos”.

Listado de productos asociados al usuario",TET-842,2022-05-24 00:30:28,2022-05-24 00:30:59,"30,692s",FAILED
"callTestCase(findTestCase(""Sprint 1/01HU-Login-Cierre de Sesión/11 Especificaciones Funcionales - Login exitoso del usuario""), [""NumeroCelular"":findTestData(""Usuarios"").getValue(1, 1), ""Contrasena"":findTestData(""Usuarios"").getValue(2, 1)], CONTINUE_ON_FAILURE)",,,,2022-05-24 00:30:28,2022-05-24 00:30:59,"30,534s",FAILED
"Misproductos = getText(findTestObject(""Sprint 1/dasboard/android.widget.TextView - Mis productos titulo pantalla""), 0)",,,,2022-05-24 00:30:59,2022-05-24 00:30:59,"0,095s",PASSED
,,,,,,,
Test Cases/Sprint 1/03HU-Dashboard/28 Dashboard,,"Se elimina punto relacionado con el ícono de tres puntos. El ícono de tres puntos se ocultó para este Sprint. Observación para QA.

La slider 1 muestra el resumen de saldos del cliente.

La descripción de la slider 1 se refleja en la sección Pantalla Resumen de saldos

Al seleccionar el botón flecha hacia abajo 1, con la slider 1 activa, el botón de flecha cambia de posición hacia arriba y despliega la slider hacia abajo con la animación correspondiente, mostrando al usuario la Pantalla Resumen de saldos.
o   La slider 1 se despliega sobre el listado de productos y el resto de los elementos en la pantalla.

Los productos del cliente se mostrarán en forma de renglones en la pantalla, bajo la barra de subtítulos Todos mis productos.

El usuario podrá hacer scroll en la pantalla para ver todos los productos.

El scroll se debe aplicar sobre toda la pantalla, incluyendo la sección verde superior.",TET-839,2022-05-24 00:32:31,2022-05-24 00:33:02,"30,552s",FAILED
"callTestCase(findTestCase(""Sprint 1/01HU-Login-Cierre de Sesión/11 Especificaciones Funcionales - Login exitoso del usuario""), [""NumeroCelular"":findTestData(""Usuarios"").getValue(1, 1), ""Contrasena"":findTestData(""Usuarios"").getValue(2, 1)], CONTINUE_ON_FAILURE)",,,,2022-05-24 00:32:31,2022-05-24 00:33:02,"30,427s",FAILED
"tap(findTestObject(""Sprint 1/dasboard/android.view.ViewGroup flecha hacia abajo""), 0)",,,,2022-05-24 00:33:02,2022-05-24 00:33:02,"0,101s",PASSED
,,,,,,,
Test Cases/Sprint 1/03HU-Dashboard/29 Dashboard - Ingresar con un cliente que posea Caja de ahorro,,"1- Alias completo del producto > Alineado a la izquierda.

 Número del producto > Alineado a la izquierda, bajo el alias.

 Monto, acompañado del tipo de moneda > Alineado a la derecha.

 Texto con descripción del monto > Alineado a la derecha, bajo el monto.",TET-838,2022-05-24 00:34:34,2022-05-24 00:35:04,"30,379s",FAILED
"startApplication(""C:\Users\Jose_Arrieta\Desktop\JA\Proyectos\Automatizacion de pruebas\APK para inicio\crtopyinfinitymobilebanking-release (8).apk"", false)",,,,2022-05-24 00:34:34,2022-05-24 00:34:54,"20,262s",FAILED
"delay(10, CONTINUE_ON_FAILURE)",,,,2022-05-24 00:34:54,2022-05-24 00:35:04,"10,004s",PASSED
"clearText(findTestObject(""Sprint 1/Login/android.widget.EditText - Campo numero de celular en Blanco""), 0)",,,,2022-05-24 00:35:04,2022-05-24 00:35:04,"0,079s",PASSED
,,,,,,,
Test Cases/Sprint 1/03HU-Dashboard/30 Dashboard - Ingresar con un cliente que posea Prestamos,,"1- Alias completo del producto > Alineado a la izquierda.

 Número del producto > Alineado a la izquierda, bajo el alias.

 Monto, acompañado del tipo de moneda > Alineado a la derecha.

 Texto con descripción del monto > Alineado a la derecha, bajo el monto.",TET-837,2022-05-24 00:36:36,2022-05-24 00:37:06,"30,271s",FAILED
"startApplication(""C:\Users\Jose_Arrieta\Desktop\JA\Proyectos\Automatizacion de pruebas\APK para inicio\crtopyinfinitymobilebanking-release (8).apk"", false)",,,,2022-05-24 00:36:36,2022-05-24 00:36:56,"20,174s",FAILED
"delay(10, CONTINUE_ON_FAILURE)",,,,2022-05-24 00:36:56,2022-05-24 00:37:06,"10,007s",PASSED
"clearText(findTestObject(""Sprint 1/Login/android.widget.EditText - Campo numero de celular en Blanco""), 0)",,,,2022-05-24 00:37:06,2022-05-24 00:37:06,"0,080s",PASSED
,,,,,,,
Test Cases/Sprint 1/03HU-Dashboard/31 Dasboard - Ingresar con un cliente que posea CDA,,"En la pantalla de dashboard se debe de visualizar los siguientes datos para una CDA: 

CDA> Alineado a la izquierda.(En caso de no tener el alias)

N°  131231211 > Alineado a la izquierda, bajo el alias 

GS. 146.670 > Alineado a la derecha. 

Capital > Alineado a la derecha, bajo el monto.",TET-836,2022-05-24 00:38:37,2022-05-24 00:39:07,"30,238s",FAILED
"startApplication(""C:\Users\Jose_Arrieta\Desktop\JA\Proyectos\Automatizacion de pruebas\APK para inicio\crtopyinfinitymobilebanking-release (8).apk"", true)",,,,2022-05-24 00:38:37,2022-05-24 00:38:57,"20,101s",FAILED
"delay(10, CONTINUE_ON_FAILURE)",,,,2022-05-24 00:38:57,2022-05-24 00:39:07,"10,014s",PASSED
"sendKeys(findTestObject(""Object Repository/Sprint 1/Caja de ahorros/android.widget.EditText - 0982159800""), ""0982159800"")",,,,2022-05-24 00:39:07,2022-05-24 00:39:07,"0,112s",PASSED
,,,,,,,
Test Cases/Sprint 1/03HU-Dashboard/32 Falla de Conexión en la pantalla de Dashboard,,"En caso de falla de conexión, al intentar ingresar a la Pantalla Dashboard, se mostrará un alert nativo del SO con los siguientes elementos:
1- Título “Mensaje”.
2- Texto: “Ups! Hubo una falla en la conexión. Por favor, verificá y probá de nuevo.”.
3- Botón Aceptar.
El botón Aceptar cierra el alert, cierra la sesión del usuario y muestra la Pantalla Cierre de sesión.",TET-832,2022-05-24 00:40:39,2022-05-24 00:41:09,"30,391s",FAILED
"startApplication(""C:\Users\Jose_Arrieta\Desktop\JA\Proyectos\Automatizacion de pruebas\APK para inicio\crtopyinfinitymobilebanking-release (8).apk"", true)",,,,2022-05-24 00:40:39,2022-05-24 00:40:59,"20,280s",FAILED
"delay(10, CONTINUE_ON_FAILURE)",,,,2022-05-24 00:40:59,2022-05-24 00:41:09,"10,013s",PASSED
"sendKeys(findTestObject(""Object Repository/Sprint 1/falla de conexion dashboard/android.widget.EditText - 0982159800""), ""0982159800"")",,,,2022-05-24 00:41:09,2022-05-24 00:41:09,"0,071s",PASSED
,,,,,,,
Test Cases/Sprint 1/03HU-Dashboard/33 Opciones no disponibles en este Sprint,,"Las siguientes opciones de la Pantalla Dashboardse mostrarán inhabilitadas para este sprint:

a.    Slider Gastos mensuales (Corresponde al Sprint #4).

b.    Slider Balances (Corresponde al Sprint #4).

c.     Búsqueda de productos (Corresponde al Sprint #2).

d.    Búsqueda avanzada de productos (Corresponde al Sprint #2).

e.    Ofertas sugeridas (Corresponde al Sprint #3).

f.      Opción Chatea ahora (Corresponde al Sprint #4).",TET-833,2022-05-24 00:42:40,2022-05-24 00:43:11,"30,252s",FAILED
"startApplication(""C:\Users\Jose_Arrieta\Desktop\JA\Proyectos\Automatizacion de pruebas\APK para inicio\crtopyinfinitymobilebanking-release (8).apk"", false)",,,,2022-05-24 00:42:40,2022-05-24 00:43:00,"20,153s",FAILED
"delay(10, CONTINUE_ON_FAILURE)",,,,2022-05-24 00:43:00,2022-05-24 00:43:10,"10,011s",PASSED
"sendKeys(findTestObject(""Sprint 1/Login/android.widget.EditText - Numero de celular login""), ""0982159800"")",,,,2022-05-24 00:43:10,2022-05-24 00:43:11,"0,076s",PASSED
,,,,,,,
Test Cases/Sprint 1/03HU-Dashboard/34 Datos definidos en el código de la App,,"La etiqueta que identifica el monto es definida en el código de la App, es decir no es retornada por el servicio.

La etiqueta N° que acompaña el número de producto es definida en la App, es decir no es retornada por el servicio.",TET-832,2022-05-24 00:44:42,2022-05-24 00:45:12,"30,165s",FAILED
"startApplication(""C:\Users\Jose_Arrieta\Desktop\JA\Proyectos\Automatizacion de pruebas\APK para inicio\crtopyinfinitymobilebanking-release (8).apk"", true)",,,,2022-05-24 00:44:42,2022-05-24 00:45:02,"20,065s",FAILED
"delay(10, CONTINUE_ON_FAILURE)",,,,2022-05-24 00:45:02,2022-05-24 00:45:12,"10,012s",PASSED
"sendKeys(findTestObject(""Object Repository/Sprint 1/Caja de ahorros/android.widget.EditText - 0982159800""), ""0982159800"")",,,,2022-05-24 00:45:12,2022-05-24 00:45:12,"0,075s",PASSED
,,,,,,,
Test Cases/Sprint 1/03HU-Dashboard/35 Validación de envío de peticiones en la pantalla de dashboard,,"Al momento de pulsar repetidamente sobre alguna opción,  en la pantalla de Dahboard ,  debe ejercer una acción a la cual se corresponda y no enviar varias peticiones al backend",TET-831,2022-05-24 00:46:43,2022-05-24 00:47:13,"30,263s",FAILED
"startApplication(""C:\Users\Jose_Arrieta\Desktop\JA\Proyectos\Automatizacion de pruebas\APK para inicio\crtopyinfinitymobilebanking-release (8).apk"", false)",,,,2022-05-24 00:46:43,2022-05-24 00:47:03,"20,162s",FAILED
"delay(10, CONTINUE_ON_FAILURE)",,,,2022-05-24 00:47:03,2022-05-24 00:47:13,"10,011s",PASSED
"sendKeys(findTestObject(""Sprint 1/Login/android.widget.EditText - Numero de celular login""), ""0994391003"", CONTINUE_ON_FAILURE)",,,,2022-05-24 00:47:13,2022-05-24 00:47:13,"0,079s",PASSED
