Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
06 HU- Detalle de cuotas (Prestamo),,,,2022-05-24 00:48:56,2022-05-24 00:50:28,"1m - 32,675s",FAILED
,,,,,,,
"Test Cases/Sprint 1/05HU-Detalle de productos/54 Detalle de cuentas - Consulta de movimientos, cliente sin movimientos",,"Una vez se cargan todos los datos y transacciones en los listados, se oculta el showloading.

En caso que la cuenta no tenga operaciones pendientes o movimientos, no se mostrará la barra de subtítulo correspondiente, en pantalla.",TET-888,2022-05-24 00:50:01,2022-05-24 00:50:21,"20,222s",FAILED
"startApplication(""C:\Users\Jose_Arrieta\Desktop\JA\Proyectos\Automatizacion de pruebas\APK para inicio\crtopyinfinitymobilebanking-release (8).apk"", false)",,,,2022-05-24 00:50:01,2022-05-24 00:50:21,"20,205s",FAILED
,,,,,,,
Test Cases/Sprint 1/05HU-Detalle de productos/55 Consulta de Movimientos opciones de expandir y contraer,,"odos los listados se muestran desplegados por defecto.
1- Al seleccionar sobre el ícono de flecha hacia arriba, de cualquiera de las barras de subtítulo, se pliega el listado correspondiente, y el ícono de flecha cambia de dirección hacia abajo.
1.1- El resto de los elementos, posteriores a esa barra, cambia de posición en pantalla.",TET-887,2022-05-24 00:50:21,2022-05-24 00:50:22,"0,478s",PASSED
return null,,,,2022-05-24 00:50:22,2022-05-24 00:50:22,"0,000s",PASSED
,,,,,,,
Test Cases/Sprint 1/05HU-Detalle de productos/56 Scroll -Ingresar con un cliente que posea varias transacciones,,"El usuario podrá hacer scroll en la pantalla para ver todas las operaciones en caso de ser requerido.

El scroll se aplica solo sobre el listado de las transacciones. La sección superior se muestra estática.


Resultado Obtenido",TET-886,2022-05-24 00:50:22,2022-05-24 00:50:22,"0,494s",PASSED
return null,,,,2022-05-24 00:50:22,2022-05-24 00:50:22,"0,001s",PASSED
,,,,,,,
Test Cases/Sprint 1/05HU-Detalle de productos/57 Falla de Conexión en la pantalla Resumen de cuenta y Detalle de cuentas,,"El back nativo del sistema operativo, regresa al usuario a la Pantalla Dashboard.

Al seleccionar el botón Editar, se muestra al usuario la Pantalla Personalizar producto.",TET-884,2022-05-24 00:50:22,2022-05-24 00:50:23,"0,460s",PASSED
return null,,,,2022-05-24 00:50:23,2022-05-24 00:50:23,"0,000s",PASSED
,,,,,,,
Test Cases/Sprint 1/05HU-Detalle de productos/58 Validar la navegación - Pantalla de Detalle de cuentas de cuentas,,"El botón de flecha para regresar, regresa al usuario a la Pantalla Resumen de cuenta (Caja de ahorro/Cuenta corriente)desde donde invocó la pantalla Detalle de cuenta corriente.

El botón Editarse mostrará como un ícono alusivo a un lápiz.

El texto que corresponde al alias o nombre de la cuenta, junto con los últimos cuatro (04) dígitos del número de cuenta, serán retornados por el servicio.

La estructura del texto es la siguiente “<alias de la cuenta>…<últimos cuatro dígitos del número de cuenta>”.

En caso que el alias o nombre de la cuenta sea muy extenso, se mostrarán tantos caracteres como permita la resolución de la pantalla.

La pantalla cuenta con los siguientes elementos:
1- Header de la pantalla.
2- Botón de flecha para regresar.
3- Editar (Botón).


Precondiciones
Para ingresar a esta pantalla el usuario debe seleccionar el ícono de información, ubicado en la esquina superior derecha de la Pantalla Resumen de cuenta (Caja de ahorro/Cuenta corriente), cuando la cuenta consultada corresponde a una cuenta corriente",TET-884,2022-05-24 00:50:23,2022-05-24 00:50:23,"0,440s",PASSED
return null,,,,2022-05-24 00:50:23,2022-05-24 00:50:23,"0,001s",PASSED
,,,,,,,
Test Cases/Sprint 1/05HU-Detalle de productos/59 Validación de envío de peticiones en la pantalla de Detalle de cuentas,,"Resultado Esperado
Al momento de pulsar repetidamente sobre alguna opción,  en la pantalla de Detalle de cuentas ,  debe ejercer una acción a la cual se corresponda y no enviar varias peticiones al backend",TET-883,2022-05-24 00:50:23,2022-05-24 00:50:24,"0,449s",PASSED
return null,,,,2022-05-24 00:50:24,2022-05-24 00:50:24,"0,001s",PASSED
,,,,,,,
