Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
03 HU-Dashboard,,,,2022-05-24 12:28:36,2022-05-24 13:45:37,"1h - 17m - 1,379s",FAILED
,,,,,,,
Test Cases/Sprint 1/03HU-Dashboard/27 Validar pantalla de Dashboard,,"na vez realizado el login exitoso se debe visualizar la pantalla de Dashboard. o al seleccionar el menú Mis productos.

La pantalla cuenta con los siguientes elementos:

Header de la pantalla con el texto que la identifica “Mis productos”.

Slider principal, contiene los siguientes elementos:

Slider 1.

Botón flecha hacia abajo 1.

Barra de subtítulos “Todos mis productos”.

Listado de productos asociados al usuario",TET-842,2022-05-24 12:35:52,2022-05-24 12:36:46,"53,955s",PASSED
"callTestCase(findTestCase(""Sprint 1/01HU-Login-Cierre de Sesión/11 Especificaciones Funcionales - Login exitoso del usuario""), [""NumeroCelular"":findTestData(""Usuarios"").getValue(1, 1), ""Contrasena"":findTestData(""Usuarios"").getValue(2, 1)], CONTINUE_ON_FAILURE)",,,,2022-05-24 12:35:52,2022-05-24 12:36:23,"31,206s",PASSED
"Misproductos = getText(findTestObject(""Sprint 1/dasboard/android.widget.TextView - Mis productos titulo pantalla""), 0)",,,,2022-05-24 12:36:23,2022-05-24 12:36:43,"19,132s",PASSED
"verifyEqual(Misproductos, ""Mis productos"")",,,,2022-05-24 12:36:43,2022-05-24 12:36:43,"0,002s",PASSED
"Todosmisproductos = getText(findTestObject(""Sprint 1/dasboard/android.widget.TextView - Todos mis productos""), 0)",,,,2022-05-24 12:36:43,2022-05-24 12:36:44,"1,153s",PASSED
"verifyEqual(Todosmisproductos, ""Todos mis productos"")",,,,2022-05-24 12:36:44,2022-05-24 12:36:44,"0,002s",PASSED
"tap(findTestObject(""Sprint 1/dasboard/android.widget.ImageView flecha hacia abajo resumen de productos""), 0)",,,,2022-05-24 12:36:44,2022-05-24 12:36:45,"0,861s",PASSED
"tap(findTestObject(""Sprint 1/dasboard/android.view.ViewGroup flecha hacia arriba""), 0)",,,,2022-05-24 12:36:45,2022-05-24 12:36:46,"1,567s",PASSED
,,,,,,,
